sec_code,ticker,year,high,low,days,updated_at
6249,6249.T,2021,1107.13,869.38,245,2026-08-24
6249,6249.T,2022,2198.46,880.74,244,2026-08-24
6249,6249.T,2023,4940.96,1680.46,246,2026-08-24
6249,6249.T,2024,2631.53,1481.0,245,2026-08-24
6249,6249.T,2025,3070.69,1882.97,243,2026-08-24
6249,6249.T,2026,3103.99,2231.0,156,2026-08-24
6257,6257.T,2016,823.35,590.8,87,2026-08-24
6257,6257.T,2017,848.29,674.38,253,2026-08-24
6257,6257.T,2018,1038.04,583.3,261,2026-08-24
6257,6257.T,2019,719.69,630.43,241,2026-08-24
6257,6257.T,2020,736.23,434.46,242,2026-08-24
6257,6257.T,2021,763.61,613.28,245,2026-08-24
6257,6257.T,2022,1087.61,686.35,244,2026-08-24
6257,6257.T,2023,1510.55,968.77,246,2026-08-24
6257,6257.T,2024,1352.59,971.63,245,2026-08-24
6257,6257.T,2025,1326.58,925.11,243,2026-08-24
6257,6257.T,2026,1076.67,951.0,156,2026-08-24
6262,6262.T,2016,551.08,368.97,87,2026-08-24
6262,6262.T,2017,755.75,505.6,253,2026-08-24
6262,6262.T,2018,915.71,509.33,261,2026-08-24
6262,6262.T,2019,610.71,380.82,241,2026-08-24
6262,6262.T,2020,429.32,213.5,242,2026-08-24
6262,6262.T,2021,482.14,264.54,245,2026-08-24
6262,6262.T,2022,925.16,401.62,244,2026-08-24
6262,6262.T,2023,763.82,384.86,246,2026-08-24
6262,6262.T,2024,571.21,400.78,245,2026-08-24
6262,6262.T,2025,979.0,379.17,243,2026-08-24
6262,6262.T,2026,1033.0,500.0,156,2026-08-24
6292,6292.T,2016,384.65,326.15,87,2026-08-24
6292,6292.T,2017,1116.5,366.37,253,2026-08-24
6292,6292.T,2018,1897.38,849.07,261,2026-08-24
6292,6292.T,2019,1267.31,665.13,241,2026-08-24
6292,6292.T,2020,906.91,447.21,242,2026-08-24
6292,6292.T,2021,1178.2,668.21,245,2026-08-24
6292,6292.T,2022,1060.38,689.73,244,2026-08-24
6292,6292.T,2023,1123.11,688.87,246,2026-08-24
6292,6292.T,2024,1038.59,689.44,245,2026-08-24
6292,6292.T,2025,888.5,659.57,243,2026-08-24
6292,6292.T,2026,866.0,759.61,156,2026-08-24
6335,6335.T,2016,794.7,402.02,87,2026-08-24
6335,6335.T,2017,804.05,523.57,253,2026-08-24
6335,6335.T,2018,578.73,315.07,261,2026-08-24
6335,6335.T,2019,535.01,335.58,241,2026-08-24
6335,6335.T,2020,361.47,158.2,242,2026-08-24
6335,6335.T,2021,3720.0,256.0,245,2026-08-24
6335,6335.T,2022,1170.0,512.0,244,2026-08-24
6335,6335.T,2023,639.0,344.0,246,2026-08-24
6335,6335.T,2024,507.0,304.0,245,2026-08-24
6335,6335.T,2025,889.0,338.0,243,2026-08-24
6335,6335.T,2026,800.0,464.0,156,2026-08-24
6346,6346.T,2016,2524.09,1560.18,87,2026-08-24
6346,6346.T,2017,2588.39,2094.46,253,2026-08-24
6346,6346.T,2018,5104.58,2308.36,261,2026-08-24
6346,6346.T,2019,8115.17,2706.42,241,2026-08-24
6346,6346.T,2020,3416.68,2275.89,242,2026-08-24
6346,6346.T,2021,4131.22,2834.01,245,2026-08-24
6346,6346.T,2022,3749.13,3157.84,244,2026-08-24
6346,6346.T,2023,4150.47,3112.99,246,2026-08-24
6346,6346.T,2024,5231.69,3881.8,245,2026-08-24
6346,6346.T,2025,7050.46,4865.57,243,2026-08-24
6346,6346.T,2026,6597.15,5500.0,156,2026-08-24
6390,6390.T,2016,2347.47,1383.46,87,2026-08-24
6390,6390.T,2017,2912.56,1924.42,253,2026-08-24
6390,6390.T,2018,2928.6,1784.32,261,2026-08-24
6390,6390.T,2019,2262.56,1190.99,241,2026-08-24
6390,6390.T,2020,1368.98,728.51,242,2026-08-24
6390,6390.T,2021,999.48,625.75,245,2026-08-24
6390,6390.T,2022,735.4,581.85,244,2026-08-24
6390,6390.T,2023,1170.74,576.01,246,2026-08-24
6390,6390.T,2024,1410.14,769.08,245,2026-08-24
6390,6390.T,2025,1412.99,945.3,243,2026-08-24
6390,6390.T,2026,1741.09,1172.0,156,2026-08-24
6467,6467.T,2016,418.05,351.19,87,2026-08-24
6467,6467.T,2017,563.83,397.99,253,2026-08-24
6467,6467.T,2018,3384.67,530.86,261,2026-08-24
6467,6467.T,2019,781.92,529.52,241,2026-08-24
6467,6467.T,2020,806.13,340.18,242,2026-08-24
6467,6467.T,2021,482.31,390.52,245,2026-08-24
6467,6467.T,2022,412.95,306.41,244,2026-08-24
6467,6467.T,2023,392.05,318.78,246,2026-08-24
6467,6467.T,2024,511.58,298.34,245,2026-08-24
6467,6467.T,2025,390.29,308.53,243,2026-08-24
6467,6467.T,2026,365.85,312.0,156,2026-08-24
6654,6654.T,2016,1090.39,982.11,87,2026-08-24
6654,6654.T,2017,1135.25,987.11,253,2026-08-24
6654,6654.T,2018,1183.05,892.16,261,2026-08-24
6654,6654.T,2019,1088.01,960.25,241,2026-08-24
6654,6654.T,2020,1181.87,696.1,242,2026-08-24
6654,6654.T,2021,1125.69,970.19,245,2026-08-24
6654,6654.T,2022,1088.32,922.51,244,2026-08-24
6654,6654.T,2023,1143.65,966.59,246,2026-08-24
6654,6654.T,2024,1098.9,911.79,245,2026-08-24
6654,6654.T,2025,1102.69,898.76,243,2026-08-24
6654,6654.T,2026,1129.44,1024.97,156,2026-08-24
6664,6664.T,2016,569.0,488.5,87,2026-08-24
6664,6664.T,2017,1066.0,528.0,253,2026-08-24
6664,6664.T,2018,1570.0,515.0,261,2026-08-24
6664,6664.T,2019,1188.0,563.0,241,2026-08-24
6664,6664.T,2020,667.0,290.0,242,2026-08-24
6664,6664.T,2021,860.0,443.0,245,2026-08-24
6664,6664.T,2022,544.0,310.0,244,2026-08-24
6664,6664.T,2023,447.0,310.0,246,2026-08-24
6664,6664.T,2024,409.0,210.0,245,2026-08-24
6664,6664.T,2025,451.0,193.0,243,2026-08-24
6664,6664.T,2026,368.0,229.0,156,2026-08-24
6694,6694.T,2017,1314.64,527.71,194,2026-08-24
6694,6694.T,2018,1221.02,444.69,261,2026-08-24
6694,6694.T,2019,852.06,458.86,241,2026-08-24
6694,6694.T,2020,920.78,314.27,242,2026-08-24
6694,6694.T,2021,2000.98,649.91,245,2026-08-24
6694,6694.T,2022,1588.64,746.26,244,2026-08-24
6694,6694.T,2023,1224.29,846.11,246,2026-08-24
6694,6694.T,2024,1008.79,616.18,245,2026-08-24
6694,6694.T,2025,691.22,551.26,243,2026-08-24
6694,6694.T,2026,766.0,618.0,156,2026-08-24
6771,6771.T,2016,1352.05,965.75,87,2026-08-24
6771,6771.T,2017,1531.34,1077.61,253,2026-08-24
6771,6771.T,2018,1515.13,852.57,261,2026-08-24
6771,6771.T,2019,1061.37,833.83,241,2026-08-24
6771,6771.T,2020,1100.65,566.15,242,2026-08-24
6771,6771.T,2021,862.58,584.56,245,2026-08-24
6771,6771.T,2022,614.24,472.26,244,2026-08-24
6771,6771.T,2023,868.66,475.0,246,2026-08-24
6771,6771.T,2024,886.3,589.32,245,2026-08-24
6771,6771.T,2025,671.03,499.63,243,2026-08-24
6771,6771.T,2026,874.0,591.72,156,2026-08-24
6797,6797.T,2024,996.32,812.09,144,2026-08-24
6797,6797.T,2025,1319.34,881.17,243,2026-08-24
6797,6797.T,2026,1271.19,1023.69,156,2026-08-24
6867,6867.T,2016,237.09,173.08,87,2026-08-24
6867,6867.T,2017,705.78,212.22,253,2026-08-24
6867,6867.T,2018,1109.31,318.83,261,2026-08-24
6867,6867.T,2019,1367.0,395.28,241,2026-08-24
6867,6867.T,2020,1453.23,499.4,242,2026-08-24
6867,6867.T,2021,690.35,508.6,245,2026-08-24
6867,6867.T,2022,560.33,380.24,244,2026-08-24
6867,6867.T,2023,629.98,394.55,246,2026-08-24
6867,6867.T,2024,715.8,392.15,245,2026-08-24
6867,6867.T,2025,815.03,321.57,243,2026-08-24
6867,6867.T,2026,493.46,385.0,156,2026-08-24
6882,6882.T,2016,394.67,338.4,87,2026-08-24
6882,6882.T,2017,1208.69,365.5,253,2026-08-24
6882,6882.T,2018,1508.16,566.19,261,2026-08-24
