date,sec_code,name,market,sector,is_supervised,close,last_quote,volume_k,traded,turnover
2026-08-20,2983,アールプランナー,メイン市場,不動産業,False,,1613.0,0.0,False,0.0
2026-08-20,2986,ＬＡＨＤ,プレミア市場,不動産業,False,,2823.0,0.0,False,0.0
2026-08-20,3028,アルペン,プレミア市場,小売業,False,,2378.0,0.0,False,0.0
2026-08-20,3032,ゴルフ・ドゥ,ネクスト市場,小売業,False,247.0,,14.8,True,3655600.0000000005
2026-08-20,3035,ケイティケイ,メイン市場,卸売業,False,,779.0,0.0,False,0.0
2026-08-20,3066,ＪＢイレブン,メイン市場,小売業,False,632.0,,1.8,True,1137600.0000000002
2026-08-20,3086,Ｊフロント,プレミア市場,小売業,False,,2979.5,0.0,False,0.0
2026-08-20,3091,ブロンコＢ,プレミア市場,小売業,False,,2724.0,0.0,False,0.0
2026-08-20,3116,トヨタ紡織,プレミア市場,輸送用機器,False,,2265.5,0.0,False,0.0
2026-08-20,3138,富士山マガジン,メイン市場,小売業,False,,1144.0,0.0,False,0.0
2026-08-20,3184,ＩＣＤＡ,メイン市場,小売業,False,,4265.0,0.0,False,0.0
2026-08-20,3186,ネクステージ,プレミア市場,小売業,False,,3585.0,0.0,False,0.0
2026-08-20,3202,ダイトウボウ,プレミア市場,繊維製品,False,,127.0,0.0,False,0.0
2026-08-20,3205,ダイドー,プレミア市場,繊維製品,False,,740.0,0.0,False,0.0
2026-08-20,3221,ヨシックスＨＤ,プレミア市場,小売業,False,,3385.0,0.0,False,0.0
2026-08-20,3232,三重交通ＧＨＤ,プレミア市場,不動産業,False,,565.0,0.0,False,0.0
2026-08-20,3260,エスポア,監理銘柄,サービス業,True,668.0,,23.0,True,15364000.0
2026-08-20,3320,クロスプラス,メイン市場,卸売業,False,,1309.0,0.0,False,0.0
2026-08-20,3321,ミタチ,プレミア市場,卸売業,False,,1670.0,0.0,False,0.0
2026-08-20,3346,ヒロタグループＨＤ,ネクスト市場,小売業,False,83.0,,2.0,True,166000.0
2026-08-20,3384,アークコア,ネクスト市場,卸売業,False,762.0,,0.1,True,76200.0
2026-08-20,3419,アートグリーン,ネクスト市場,卸売業,False,1978.0,,0.2,True,395600.0
2026-08-20,3422,Ｊ－ＭＡＸ,メイン市場,金属製品,False,,638.0,0.0,False,0.0
2026-08-20,3439,三ツ知,メイン市場,金属製品,False,,685.0,0.0,False,0.0
2026-08-20,3441,山王,メイン市場,金属製品,False,,2683.0,0.0,False,0.0
2026-08-20,3442,ＭＩＥコーポ,メイン市場,金属製品,False,,1611.0,0.0,False,0.0
2026-08-20,3447,信和,プレミア市場,金属製品,False,,1027.0,0.0,False,0.0
2026-08-20,3461,パルマ,メイン市場,不動産業,False,,607.0,0.0,False,0.0
2026-08-20,3469,デュアルタップ,メイン市場,不動産業,False,,895.0,0.0,False,0.0
2026-08-20,3494,マリオン,メイン市場,不動産業,False,,443.0,0.0,False,0.0
2026-08-20,3504,丸八ホールディングス,メイン市場,繊維製品,False,1411.0,,1.4,True,1975399.9999999998
2026-08-20,3524,日東網,プレミア市場,繊維製品,False,,1483.0,0.0,False,0.0
2026-08-20,3543,コメダ,プレミア市場,卸売業,False,,2957.0,0.0,False,0.0
2026-08-20,3549,クスリのアオキＨＤ,メイン市場,小売業,False,,4105.0,0.0,False,0.0
2026-08-20,3556,リネットジャパン,メイン市場,小売業,False,,888.0,0.0,False,0.0
2026-08-20,3559,ピーバンドットコム,メイン市場,卸売業,False,,425.0,0.0,False,0.0
2026-08-20,3571,ソトー,プレミア市場,繊維製品,False,,718.0,0.0,False,0.0
2026-08-20,3577,東海染工,プレミア市場,繊維製品,False,,950.0,0.0,False,0.0
2026-08-20,3670,協立情報通信,メイン市場,情報・通信業,False,,1765.0,0.0,False,0.0
2026-08-20,3739,コムシード,ネクスト市場,情報・通信業,False,120.0,,24.6,True,2952000.0
2026-08-20,3771,システムリサーチ,プレミア市場,情報・通信業,False,,1958.0,0.0,False,0.0
2026-08-20,3775,ガイアックス,ネクスト市場,情報・通信業,False,450.0,,4.3,True,1935000.0
