sec_code,company_name,ticker,price,market_cap,ncav,nc_ratio,equity_ratio,cash_and_equivalents,net_cash,net_cash_ratio,current_assets,total_liabilities,total_assets,accounting_standard,consolidated,fiscal_period,submit_date,調整後終値,前日比%,5日騰落%,20日騰落%,60日安値乖離%,120日安値乖離%,52週安値乖離%,52週高値乖離%,停滞日数,20日平均売買代金(百万円)
5103,昭和ホールディングス株式会社,5103.T,4.0,303389384.0,884713000,2.9160974202050522,41.99,1764250000.0,-1292714000.0,-4.260907164767506,3941677000,3056964000,5270064000,J-GAAP,連結,2026-03-31,2026-06-24,4.0,-20.0,-42.9,-78.9,0.0,0.0,0.0,-93.5,1,26.9
7034,株式会社プロレド・パートナーズ,7034.T,373.0,4077484562.0,10348348000,2.5379245077813737,85.15,5667289000.0,3609190000.0,0.8851511134182438,12406447000,2058099000,13861295000,J-GAAP,個別,2026-10-31,2026-06-15,373.0,-2.4,1.1,3.6,13.7,13.7,13.7,-53.3,1,21.7
8165,株式会社千趣会,8165.T,109.0,5098558930.0,10282000000,2.016648261041086,71.03,6478000000.0,-531000000.0,-0.10414707514226966,17291000000,7009000000,24190000000,J-GAAP,個別,2026-06-30,2026-08-10,108.0,-1.8,-1.8,-2.7,1.9,1.9,1.9,-56.8,6,15.6
7399,株式会社ナンシン,7399.T,595.0,3807095600.0,7660598000,2.012189554683103,83.03,4139149000.0,1659172000.0,0.43581043775207534,10140575000,2479977000,14613023000,J-GAAP,連結,2026-03-31,2026-06-29,594.0,-0.5,-1.5,-1.2,7.4,7.6,9.1,-5.5,21,1.3
3600,株式会社フジックス,3600.T,1723.0,2371678486.0,4755589000,2.0051575405655555,84.3,2482013000.0,519702000.0,0.21912835279646753,6717900000,1962311000,12501084000,J-GAAP,連結,2026-03-31,2026-06-24,1749.0,1.5,2.5,2.7,5.6,9.1,14.2,0.0,2,0.7
7297,株式会社カーメイト,7297.T,864.0,6094654272.0,11996946000,1.9684374969579899,75.23,11139514000.0,6132526000.0,1.0062139255665394,17003934000,5006988000,20210160000,J-GAAP,連結,2026-03-31,2026-06-25,862.0,0.6,-0.2,-2.0,2.4,2.6,7.0,-9.7,11,2.0
7427,エコートレーディング株式会社,7427.T,835.0,5070972535.0,9880142000,1.948372216928207,31.31,6230654000.0,-20489977000.0,-4.040640500136331,36600773000,26720631000,38899047000,J-GAAP,連結,2026-02-28,2026-05-26,835.0,0.1,0.7,1.6,2.3,2.3,2.3,-11.0,19,3.5
2055,日和産業株式会社,2055.T,352.0,6375351136.0,12273000000,1.925070437406571,61.78,9390000000.0,-2387000000.0,-0.37441074994618145,24050000000,11777000000,30816000000,J-GAAP,連結,2026-03-31,2026-06-25,354.0,1.7,2.6,5.4,13.8,13.8,14.2,-13.3,3,2.8
8783,ａｂｃ株式会社,8783.T,64.0,2658849792.0,5079114000,1.9102673702298412,66.42,767437000.0,-4121891000.0,-1.5502534262755374,9968442000,4889328000,14561749000,J-GAAP,個別,2026-08-31,2026-04-14,64.0,-4.5,8.5,-13.5,12.3,12.3,12.3,-88.6,1,87.0
5956,トーソー株式会社,5956.T,573.0,5063730498.0,9638714000,1.9034808435810242,68.71,4422486000.0,-2797137000.0,-0.5523866250592865,16858337000,7219623000,23070259000,J-GAAP,連結,2026-03-31,2026-06-24,575.0,0.5,-2.2,-3.7,4.9,4.9,10.2,-23.3,5,2.1
