sec_code,name,market,sector,alert_section,is_supervised,price,price_date,last_quote,traded_days_20,avg_turnover_20,avg_turnover_20_m,days_since_trade,window_days,as_of
5401,日本製鉄,プレミア市場,鉄 鋼,,False,675.0,2026-08-26,691.9,2,33617,0.0,7.0,12,2026-09-04
7412,アトム,メイン市場,小売業,,False,395.0,2026-09-03,390.0,1,29625,0.0,1.0,12,2026-09-04
1928,積水ハウス,プレミア市場,建設業,,False,3369.0,2026-08-21,3379.0,1,28075,0.0,10.0,12,2026-09-04
9956,バローＨＤ,プレミア市場,小売業,,False,3210.0,2026-08-20,3260.0,1,26750,0.0,11.0,12,2026-09-04
2811,カゴメ,プレミア市場,食料品,,False,2738.5,2026-08-26,2739.0,1,22821,0.0,7.0,12,2026-09-04
5802,住友電工,プレミア市場,非鉄金属,,False,2102.0,2026-08-25,2133.0,1,17517,0.0,8.0,12,2026-09-04
5938,ＬＩＸＩＬ,プレミア市場,金属製品,,False,1763.0,2026-09-03,1758.5,1,14692,0.0,1.0,12,2026-09-04
4760,アルファ,メイン市場,サービス業,,False,1538.0,2026-09-03,1544.0,1,12817,0.0,1.0,12,2026-09-04
4247,ポバール興業,メイン市場,化 学,,False,1408.0,2026-08-31,1387.0,1,11733,0.0,4.0,12,2026-09-04
5356,美濃窯業,メイン市場,ガラス・土石製品,,False,1328.0,2026-08-25,1302.0,1,11067,0.0,8.0,12,2026-09-04
8904,ＡＶＡＮＴＩＡ,プレミア市場,不動産業,,False,834.0,2026-08-28,830.0,1,6950,0.0,5.0,12,2026-09-04
6902,デンソー,プレミア市場,輸送用機器,,False,,,1916.5,0,0,0.0,,12,2026-09-04
7514,ヒマラヤ,プレミア市場,小売業,,False,,,857.0,0,0,0.0,,12,2026-09-04
7607,進和,プレミア市場,卸売業,,False,,,3030.0,0,0,0.0,,12,2026-09-04
6797,名古屋電,メイン市場,電気機器,,False,,,1230.0,0,0,0.0,,12,2026-09-04
6430,ダイコク電,プレミア市場,機 械,,False,,,2518.0,0,0,0.0,,12,2026-09-04
6340,渋谷工,プレミア市場,機 械,,False,,,5260.0,0,0,0.0,,12,2026-09-04
7593,ＶＴＨＤ,プレミア市場,小売業,,False,,,540.0,0,0,0.0,,12,2026-09-04
7389,あいちＦＧ,プレミア市場,銀行業,,False,,,1923.0,0,0,0.0,,12,2026-09-04
6718,アイホン,プレミア市場,電気機器,,False,,,2853.0,0,0,0.0,,12,2026-09-04
7380,十六ＦＧ,プレミア市場,銀行業,,False,,,2650.0,0,0,0.0,,12,2026-09-04
7369,メイホーＨＤ,ネクスト市場,サービス業,,False,,,362.0,0,0,0.0,,12,2026-09-04
6448,ブラザー,プレミア市場,電気機器,,False,,,4893.0,0,0,0.0,,12,2026-09-04
7362,Ｔ．Ｓ．Ｉ,メイン市場,サービス業,,False,,,858.0,0,0,0.0,,12,2026-09-04
7322,,プレミア市場,銀行業,,False,,,2159.0,0,0,0.0,,12,2026-09-04
6999,ＫＯＡ,プレミア市場,電気機器,,False,,,2281.0,0,0,0.0,,12,2026-09-04
7283,愛三工,プレミア市場,輸送用機器,,False,,,2311.0,0,0,0.0,,12,2026-09-04
6470,大豊工業,プレミア市場,機 械,,False,,,1120.0,0,0,0.0,,12,2026-09-04
7011,三菱重,プレミア市場,機 械,,False,,,3754.0,0,0,0.0,,12,2026-09-04
6995,東海理電,プレミア市場,輸送用機器,,False,,,3160.0,0,0,0.0,,12,2026-09-04
7245,大同メタル,プレミア市場,輸送用機器,,False,,,1178.0,0,0,0.0,,12,2026-09-04
7241,フタバ産,プレミア市場,輸送用機器,,False,,,1120.0,0,0,0.0,,12,2026-09-04
6342,太平製,メイン市場,機 械,,False,,,2968.0,0,0,0.0,,12,2026-09-04
7282,豊田合,プレミア市場,輸送用機器,,False,,,5402.0,0,0,0.0,,12,2026-09-04
7231,トピー工,プレミア市場,輸送用機器,,False,,,3095.0,0,0,0.0,,12,2026-09-04
7220,武蔵精密,プレミア市場,輸送用機器,,False,,,2926.0,0,0,0.0,,12,2026-09-04
7213,レシップＨＤ,プレミア市場,輸送用機器,,False,,,678.0,0,0,0.0,,12,2026-09-04
6564,ミダックＨＤ,プレミア市場,サービス業,,False,,,1979.0,0,0,0.0,,12,2026-09-04
7135,ジャパンクラフトＨＤ,プレミア市場,小売業,,False,,,181.0,0,0,0.0,,12,2026-09-04
6345,アイチ,プレミア市場,機 械,,False,,,1473.0,0,0,0.0,,12,2026-09-04
6407,ＣＫＤ,プレミア市場,機 械,,False,,,5210.0,0,0,0.0,,12,2026-09-04
7129,ミアヘルサＨＤ,メイン市場,小売業,,False,,,1175.0,0,0,0.0,,12,2026-09-04
6615,ＵＭＣエレ,メイン市場,電気機器,,False,,,240.0,0,0,0.0,,12,2026-09-04
6651,日東工,プレミア市場,電気機器,,False,,,4300.0,0,0,0.0,,12,2026-09-04
6346,キクカワ,メイン市場,機 械,,False,,,5650.0,0,0,0.0,,12,2026-09-04
7102,日車輌,プレミア市場,輸送用機器,,False,,,3635.0,0,0,0.0,,12,2026-09-04
6396,宇野沢鉄,メイン市場,機 械,,False,,,4700.0,0,0,0.0,,12,2026-09-04
7075,ＱＬＳＨＤ,ネクスト市場,サービス業,,False,,,1008.0,0,0,0.0,,12,2026-09-04
7073,ジェイック,メイン市場,サービス業,,False,,,2353.0,0,0,0.0,,12,2026-09-04
7059,コプロＨＤ,プレミア市場,サービス業,,False,,,930.0,0,0,0.0,,12,2026-09-04
6676,ＢＵＦＦＡＬＯ,プレミア市場,電気機器,,False,,,3070.0,0,0,0.0,,12,2026-09-04
6702,富士通,プレミア市場,電気機器,,False,,,3900.0,0,0,0.0,,12,2026-09-04
6586,マキタ,プレミア市場,機 械,,False,,,5247.0,0,0,0.0,,12,2026-09-04
2139,中広,プレミア市場,サービス業,,False,,,521.0,0,0,0.0,,12,2026-09-04
212A,フィットイージー,プレミア市場,サービス業,,False,,,2897.0,0,0,0.0,,12,2026-09-04
2053,中部飼料,プレミア市場,食料品,,False,,,2012.0,0,0,0.0,,12,2026-09-04
1946,トーエネック,プレミア市場,建設業,,False,,,2226.0,0,0,0.0,,12,2026-09-04
9987,スズケン,プレミア市場,卸売業,,False,,,5162.0,0,0,0.0,,12,2026-09-04
2780,コメ兵ＨＤ,メイン市場,小売業,,False,,,4800.0,0,0,0.0,,12,2026-09-04
2778,パレモ・ＨＤ,メイン市場,小売業,,False,,,115.0,0,0,0.0,,12,2026-09-04
2753,あみやき,プレミア市場,小売業,,False,,,1395.0,0,0,0.0,,12,2026-09-04
2734,サーラ,プレミア市場,小売業,,False,,,1198.0,0,0,0.0,,12,2026-09-04
8725,ＭＳ＆ＡＤ,プレミア市場,保険業,,False,,,5240.0,0,0,0.0,,12,2026-09-04
8616,東海東京,プレミア市場,証券、商品先物取引業,,False,,,903.0,0,0,0.0,,12,2026-09-04
8609,岡三,プレミア市場,証券、商品先物取引業,,False,,,1238.0,0,0,0.0,,12,2026-09-04
8601,大和証Ｇ,プレミア市場,証券、商品先物取引業,,False,,,1867.0,0,0,0.0,,12,2026-09-04
8522,名古屋銀,プレミア市場,銀行業,,False,,,7140.0,0,0,0.0,,12,2026-09-04
