sec_code,filer_name,current_assets,total_liabilities,total_assets,equity_value,equity_type,equity_ratio,doc_id,submit_date,doc_type,accounting_standard,consolidated,fiscal_period
7244,市光工業株式会社,69394000000,38813000000,69394000000,80120000000,NetAssets,1.1546,S100YVAV,2026-08-07,160,J-GAAP,個別,2026-06-30
5301,東海カーボン株式会社,258828000000,47000000000,258828000000,352846000000,NetAssets,1.3632,S100YV71,2026-08-07,160,J-GAAP,個別,2026-12-31
7043,アルー株式会社,1930742000,45556000,1930742000,1415251000,NetAssets,0.733,S100YUPI,2026-08-07,160,J-GAAP,個別,2026-12-31
9072,ニッコンホールディングス株式会社,41606000000,58952000000,41606000000,114797000000,NetAssets,2.7591,S100YLI5,2026-06-26,130,J-GAAP,連結,
2206,江崎グリコ株式会社,180388000000,95252000000,180388000000,278532000000,NetAssets,1.5441,S100YUHI,2026-08-06,160,J-GAAP,個別,2026-12-31
2211,株式会社不二家,42920000000,23123000000,42920000000,66104000000,NetAssets,1.5402,S100YU2M,2026-08-06,160,J-GAAP,個別,2026-12-31
3302,帝国繊維株式会社,41044503000,6485174000,8463641000,72388598000,NetAssets,8.5529,S100YUGK,2026-08-06,160,J-GAAP,個別,2026-12-31
2216,カンロ株式会社,17001403000,12254220000,17001403000,18984919000,NetAssets,1.1167,S100YUDI,2026-08-06,160,J-GAAP,個別,2026-12-31
2491,バリューコマース株式会社,15045000000,3821000000,15045000000,12181000000,NetAssets,0.8096,S100YULO,2026-08-06,160,J-GAAP,連結,2026-12-31
4224,ロンシール工業株式会社,15653000000,32000000,15653000000,17327000000,NetAssets,1.1069,S100YGGD,2026-06-23,120,J-GAAP,連結,2026-03-31
4012,株式会社アクシス,4804343000,985414000,4804343000,4076267000,NetAssets,0.8485,S100YUF8,2026-08-06,160,J-GAAP,連結,2026-12-31
3776,株式会社ブロードバンドタワー,9690110000,4557682000,9690110000,12069404000,NetAssets,1.2455,S100YNZP,2026-08-06,160,J-GAAP,個別,2026-12-31
7309,株式会社シマノ,666119000000,58917000000,666119000000,869501000000,NetAssets,1.3053,S100YUGM,2026-08-06,160,J-GAAP,個別,2026-12-31
3355,クリヤマホールディングス株式会社,52021187000,21944327000,10978554000,49256923000,NetAssets,4.4866,S100YUBT,2026-08-06,160,J-GAAP,個別,2026-12-31
3544,サツドラホールディングス株式会社,95000000,387000000,95000000,8579000000,NetAssets,90.3053,S100YUHC,2026-08-06,120,J-GAAP,連結,2026-05-15
7963,興研株式会社,11529589000,5204940000,11529589000,13797084000,NetAssets,1.1967,S100YULP,2026-08-06,160,J-GAAP,個別,2026-12-31
7984,コクヨ株式会社,242888000000,89112000000,82116000000,255457000000,NetAssets,3.1109,S100YUCY,2026-08-06,160,J-GAAP,個別,2026-12-31
2533,オエノンホールディングス株式会社,29473000000,26577000000,29473000000,26976000000,NetAssets,0.9153,S100YTO3,2026-08-06,160,J-GAAP,個別,2026-06-30
2982,株式会社ＡＤワークスグループ,58941866000,12850249000,58941866000,20576812000,NetAssets,0.3491,S100YUKY,2026-08-06,160,J-GAAP,個別,2026-12-31
3482,ロードスターキャピタル株式会社,120934000000,19410000000,120934000000,32943000000,NetAssets,0.2724,S100YUUK,2026-08-06,160,J-GAAP,個別,2026-12-31
9622,株式会社スペース,31201945000,9554569000,31201945000,34916802000,NetAssets,1.1191,S100YUJI,2026-08-06,160,J-GAAP,個別,2026-12-31
3656,ＫＬａｂ株式会社,8138888000,2862479000,8138888000,10304136000,NetAssets,1.266,S100YUKO,2026-08-06,160,J-GAAP,個別,2026-12-31
7972,株式会社イトーキ,79406000000,49580000000,34474000000,56813000000,NetAssets,1.648,S100YUIJ,2026-08-06,160,J-GAAP,個別,2026-12-31
1899,株式会社福田組,107630000000,49540000000,107630000000,90166000000,NetAssets,0.8377,S100YURU,2026-08-06,160,J-GAAP,個別,2026-12-31
3901,マークラインズ株式会社,4296679000,2220505000,4296679000,6574683000,NetAssets,1.5302,S100YUSW,2026-08-06,160,J-GAAP,個別,2026-12-31
6524,湖北工業株式会社,17027000000,2584000000,4144000000,23441000000,NetAssets,5.6566,S100YUVT,2026-08-06,160,J-GAAP,個別,2026-12-31
5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ株式会社,11008000000,329000000,4828000000,11328000000,NetAssets,2.3463,S100YUBG,2026-08-06,160,J-GAAP,個別,2026-12-31
3914,ＪＩＧ－ＳＡＷ株式会社,3955651000,1339337000,3955651000,3368001000,NetAssets,0.8514,S100YTWU,2026-08-06,160,J-GAAP,個別,2026-12-31
6278,ユニオンツール株式会社,45673000000,138000000,45673000000,79998000000,NetAssets,1.7515,S100YUEM,2026-08-06,160,J-GAAP,個別,2026-12-31
504A,イノバセル株式会社,4496297000,432146000,4496297000,-630254000,NetAssets,-0.1402,S100YUVV,2026-08-06,160,J-GAAP,個別,2026-12-31
9722,藤田観光株式会社,20676000000,29366000000,20676000000,36818000000,NetAssets,1.7807,S100YUGZ,2026-08-06,160,J-GAAP,個別,2026-12-31
7794,株式会社イーディーピー,2477631000,343160000,2477631000,3539613000,NetAssets,1.4286,S100YJVF,2026-06-24,120,J-GAAP,連結,2026-03-31
